year,iso3,elec,mobile,internet,fixedtel,mys,eys,tertiary,secondary
1990,BDI,,0.0,0.0,0.142,1.460000038,4.218900204,0.681379973888397,4.60391998291016
1991,BDI,,0.0,0.0,0.179,1.513888929,4.333489895,0.755699992179871,5.19403982162476
1992,BDI,,0.0,0.0,0.22,1.567777819,4.203050137,0.786339998245239,5.52936983108521
1993,BDI,,0.006354384,0.0,0.274,1.62166671,4.479829788,0.828920006752014,6.10045003890991
1994,BDI,,0.006766423,0.0,0.276,1.6755556,4.496963561,0.8360380053520202,
1995,BDI,,0.0095065,0.0,0.284,1.729444491,4.514097333,0.8431560039520264,
1996,BDI,,0.009459562,0.000804,0.25,1.783333381,4.531231105,0.8502740025520327,
1997,BDI,,0.010449264,0.00798,0.261,1.837222271,4.548364878,0.8573920011520388,
1998,BDI,3.9,0.010272826,0.0158,0.288,1.891111162,4.56549865,0.864509999752045,
1999,BDI,2.07094931602478,0.012944607,0.0392,0.3,1.945000052,4.582632422,0.916909992694855,
2000,BDI,2.5,0.252233549720457,0.077248447383456,0.309109742304481,1.998888943,4.599766195,1.05474996566773,
2001,BDI,2.8,0.503680457737854,0.106001245363203,0.309645308933108,2.052777833,4.616899967,1.03059995174408,9.41998958587646
2002,BDI,3.1,0.76200167288675,0.118228412267794,0.323616248923673,2.106666724,5.057419777,1.60111999511719,9.92739963531494
2003,BDI,3.4,0.908683808418785,0.201273196735924,0.339265618783857,2.160555614,5.523624897,1.8511099815368648,10.2563495635986
2004,BDI,3.7,1.37552635495365,0.349060461879596,0.37950082728554,2.214444505,5.989830017,2.10109996795654,11.8093099594116
2005,BDI,3.2,2.01652788429717,0.542100012,0.366401798584714,2.268333395,6.369110107,2.13503003120422,12.9770698547363
2006,BDI,2.7,2.54273479009152,0.657599986,0.354533511782461,2.322222286,7.855309963,2.16554999351502,14.3381099700928
2007,BDI,4.7,3.30806380985543,0.7,0.349184513262518,2.376111176,8.63090992,2.26625990867615,15.3361196517944
2008,BDI,4.8,5.65018234377978,0.81,0.357539358898105,2.430000067,9.340579987,2.49793004989624,18.11475992202755
2009,BDI,5.4,10.2904048729688,0.899999976,0.34781215081598,2.363333384,10.05025005,2.6779100894928,20.8934001922607
2010,BDI,5.3,17.8962195049637,1.0,0.372977218229,2.296666702,10.5172596,3.05528938002435,23.7647094726562
2011,BDI,6.2,19.7014852266593,1.110000014,0.308809095883938,2.230000019,10.69895983,2.9879083538270947,26.7943801879883
2012,BDI,6.5,22.3127768088819,1.220000029,0.172713252311482,2.163333337,10.88066006,2.92052732762984,29.5732898712158
2013,BDI,6.9,24.3006814319026,1.2642181112,0.203585647791369,2.096666654,10.99707985,3.70341642841244,34.2124507321275
2014,BDI,7.0,29.567783062348,1.04239212643994,0.200642883168508,2.029999971,11.12872982,4.46892058042299,40.2641258748146
2015,BDI,7.9,45.2379254099088,2.0,0.197092938000902,2.286666632,11.1534996,5.25856537918645,43.9351929825496
2016,BDI,8.5,47.6697304877258,2.200000048,0.173851907891231,2.543333292,11.11637974,3.97908916361797,47.4715342848197
2017,BDI,9.3,51.4533280518012,2.6607485347534,0.203436900841436,2.799999952,10.48184967,4.30528005798307,48.2243487332289
2018,BDI,9.5,53.2736942349584,4.019499779,0.209200328581959,2.955112081,10.24604034,4.55281922933846,46.330394174756
2019,BDI,9.8,53.2995504978403,6.072199821,0.170831709550844,3.118816986,10.10524225,4.8473473367483555,41.8352417514484
2020,BDI,9.1,52.5571219738138,6.430099964,0.145041989259601,3.291590683,9.966378953,5.141875444158252,44.9151717353101
2021,BDI,10.2,59.700785493419,6.777999878,0.123219493360871,3.473935556,9.829423879,5.436403551568148,
2022,BDI,10.3,56.2599912004244,7.144800186,0.111987773979876,3.473935556,9.829423879,5.730931658978044,
2023,BDI,11.6,63.1631365759764,7.172299862,0.10492021228026,3.473935556,9.829423879,6.02545976638794,
2024,BDI,20.1,,8.595999718,,,,,
1990,BEN,,0.0,0.0,0.28,1.452573865,4.814975057,1.9679399728775,
1991,BEN,,0.0,0.00028166666666666666,0.276,1.529262549,4.95554642,2.25591993331909,
1992,BEN,,0.0,0.0005633333333333333,0.281,1.610000014,5.10022171,2.13378000259399,
1993,BEN,,0.0,0.000845,0.348,1.695000017,5.24912074,1.94243001937866,
1994,BEN,,0.0,0.0011266666666666667,0.393,1.780000019,5.402366821,1.89841997623444,
1995,BEN,,0.017365389,0.0014083333333333333,0.453,1.865000021,5.560086862,1.97397005558014,
1996,BEN,14.5,0.043634125,0.00169,0.511,1.950000024,5.72241148,1.99114000797272,
1997,BEN,18.5896263122559,0.067245695,0.0246,0.554,2.035000026,5.899514256,2.43330001831055,
1998,BEN,19.578254699707,0.095471222,0.0479,0.565,2.120000029,6.076617031,2.7649400234222448,
1999,BEN,20.5620422363281,0.107076743,0.155,0.623,2.205000031,6.253719807,3.09658002853394,19.2567005157471
2000,BEN,21.5,0.768193392645056,0.225247851473369,0.715130499130458,2.290000033,6.516719818,3.49604988098144,20.0005397796631
2001,BEN,21.9,1.67884478287568,0.363417890016082,0.796417103479695,2.375000036,7.11894989,4.20038986206055,21.7104396820068
2002,BEN,23.4,2.85026524912103,0.7029455951039,0.816488882832041,2.460000038,7.580840111,4.92833995819092,23.5846691131592
2003,BEN,24.3,2.98461911748538,0.951327114915695,0.840520809243442,2.472683366,7.986030102,5.43203020095825,24.9001197814941
2004,BEN,25.2,5.62957112640203,1.18254096518994,0.892121110505652,2.485366694,8.376919746,5.47938013076782,26.7041492462158
2005,BEN,26.1,7.07639223825275,1.271000028,0.905123387399978,2.498050022,8.762456894,5.41120004653931,
2006,BEN,27.9,12.1442265152632,1.537899971,0.889679592492651,2.51073335,9.147994041,6.20295000076294,
2007,BEN,28.0,22.9147096667411,1.79,1.23704917897303,2.523416678,9.533531189,7.43086004257202,
2008,BEN,29.0,39.2846004959004,1.85,1.24927588182045,2.536100006,9.919068336,7.34216022491455,
2009,BEN,30.0,52.9301199452375,2.24,1.33708427945628,2.548783334,10.30460548,9.3462495803833,
2010,BEN,34.2,72.2115392074128,3.13,1.3618496340489,2.561466662,10.69014263,12.6081895828247,
2011,BEN,36.9,76.9318013957922,4.14832306562512,1.51298498071505,2.57414999,11.07567978,11.8088598251343,45.7294692993164
2012,BEN,38.4,80.8628905531314,4.5,1.50721455804899,2.586833318,11.59101009,12.8605403900147,48.883659362792955
2013,BEN,34.7,89.9019164924958,4.900000095,1.48889225474968,2.599516646,12.10634041,14.7752199172974,52.0378494262695
2014,BEN,34.1,78.5170340826712,6.0,1.77390688162942,2.612199974,12.12549973,14.6916198730469,52.5952682495117
2015,BEN,29.6,82.0193349324746,11.25500011,1.71350643504558,2.624883302,12.34691048,12.4851799011231,55.1333084106445
2016,BEN,37.0,76.0182091705462,14.5,1.06757297628058,2.63756663,12.16425037,11.9529895782471,55.2945899963379
2017,BEN,34.5,72.867145412956,18.7,0.471661442318713,2.650249958,11.69883275,11.337929725647,52.46741008758545
2018,BEN,39.0,76.4080341122638,19.0,0.391719621520741,2.841894984,11.23341513,11.5739097595215,49.640230178832994
2019,BEN,40.0,81.3235345537806,20.50099945,0.282216480163247,3.03354001,10.7679975,10.3906803131103,46.813050270080545
2020,BEN,41.0,85.2390738023357,22.12059975,0.247785625419228,3.113870025,10.30257988,10.3808002471924,43.9858703613281
2021,BEN,42.0,94.9182598289459,28.20470047,0.0856828651491264,3.194200039,10.37160969,9.82796955108643,44.2737998962402
2022,BEN,56.5,105.745019386968,30.53730011,0.0110905184715638,3.194200039,10.4464798,10.2350101470947,43.5606498718262
2023,BEN,57.0,116.036046685168,32.39400101,0.0101126536864698,3.194200039,10.4464798,,
2024,BEN,59.0,125.940873932186,33.98379898,0.0093343411656061,,,,
1990,BFA,,0.0,0.0,0.177,,2.411689997,0.744490027427673,6.78861999511719
1991,BFA,,0.0,0.00016016666666666667,0.19,,2.523999929,0.695360004901886,7.12624979019165
1992,BFA,,0.0,0.00032033333333333333,0.205,,2.58694005,0.928770005702972,7.33198976516724
1993,BFA,6.1,0.0,0.0004805,0.222,,2.674679995,1.0837299823761,7.73708009719849
1994,BFA,6.12501001358032,0.0,0.0006406666666666667,0.26,,2.788160086,1.05731999874115,8.05136013031006
1995,BFA,6.62533283233643,0.0,0.0008008333333333333,0.289,,2.887354088,1.1000200510025,8.300976181030274
1996,BFA,7.1229362487793,0.00494294,0.000961,0.32,,2.98654809,1.05685997009277,8.550592231750487
1997,BFA,7.61713981628418,0.01379234,0.0187,0.332,,3.085742092,0.968949973583221,8.800208282470702
1998,BFA,8.10726451873779,0.024372687,0.0454,0.367,,3.184936094,0.976294994354248,9.049824333190916
1999,BFA,6.9,0.043663904,0.0618,0.409,,3.284130096,0.983640015125275,9.29944038391113
2000,BFA,9.1,0.211688420806896,0.0770801689426014,0.4462437191555,,3.367840052,1.0489949882030476,9.85589981079102
2001,BFA,9.5,0.619650213936542,0.157732464653607,0.472029241803234,,3.451550007,1.11434996128082,10.0396404266357
2002,BFA,9.9,0.875434916000028,0.200992597925001,0.488198902648606,,3.60710001,1.34107005596161,10.662230014801
2003,BFA,11.4,1.81993821991034,0.373440303233526,0.509373873497883,,3.762650013,1.50508999824524,11.2848196029663
2004,BFA,10.7,2.93276569154714,0.400295285492178,0.631271372767283,,4.13158989,1.82411503791809,12.3676996231079
2005,BFA,11.1,4.54743329498311,0.469900012,0.654537718336251,1.343624228,4.500529766,2.14314007759094,13.3723297119141
2006,BFA,11.6,7.07267095398563,0.632700026,0.659245384645729,1.320000052,4.778759956,2.25787997245789,14.1544599533081
2007,BFA,12.0,12.5404933901545,0.75,0.787956135088184,0.980000019,5.230929852,2.40549993515015,15.2793703079224
2008,BFA,12.5,19.819973570747,0.920000017,0.971006009728739,1.024285725,5.70442009,2.92968010902405,17.9947395324707
2009,BFA,12.6,24.3386946942171,1.129999995,0.970466960482534,1.068571431,6.131499767,3.26682996749878,19.4353504180908
2010,BFA,13.1,35.2848311173407,2.400000095,0.889951582845681,1.112857137,6.557330132,3.34944579587797,21.1780201888507
2011,BFA,14.8,46.1057641177709,3.0,0.849416525406334,1.157142844,7.003349781,3.91906920981907,23.1764371916742
2012,BFA,15.1,58.0942130771516,3.724999905,0.823175154247073,1.20142855,7.300139904,4.33792685706514,25.2399681000378
2013,BFA,15.4,63.5243073500025,5.0,0.776591261609155,1.245714256,7.544000149,4.57338342077701,27.6008880705968
2014,BFA,19.2,68.5395525408019,6.0,0.683481535740415,1.289999962,7.676040173,4.89539917725699,29.5668744354491
2015,BFA,16.2,76.9373292602998,6.545700073,0.39981388350848,1.447499961,8.038040161,4.90356866333498,32.8931343608996
2016,BFA,16.6,79.6697942824089,7.140999794,0.391660532667013,1.604999959,8.267219543,5.40541465878063,34.9336280775566
2017,BFA,17.0,90.2081424191231,7.790400028,0.382016915608492,1.762499958,8.615460396,5.8341880408112,37.1627510802261
2018,BFA,14.4,94.6219614871852,8.498900414,0.375569617181243,1.919999957,8.947930336,6.31826110291158,39.6278467471779
2019,BFA,17.6,97.1498646690919,9.27180600953186,0.359179335970238,2.099999905,8.913680077,6.90532594926159,40.0770460332282
2020,BFA,18.5,102.972844247019,12.97319984,0.349364882122699,2.183274984,8.777890205,7.64277062242324,39.2540084845692
2021,BFA,19.0,112.198419449151,18.1522007,0.369961814015876,2.266550064,8.733340263,9.30513098594236,38.1480312365517
2022,BFA,19.5,113.996146792235,25.3987999,0.32280810934701,2.266550064,8.733340263,9.67069485831779,33.6212866168282
2023,BFA,21.7,116.16313821519,25.36120033,0.358176853626996,2.266550064,8.733340263,10.1078755635882,30.8551216331757
2024,BFA,34.0,116.5895933212,28.25270081,0.347015839163819,,,10.0419678526515,29.9905774531085
1990,BWA,,0.0,0.0,2.02,5.52,10.59220615,,43.0783309936523
1991,BWA,10.1,0.0,0.0,2.43,5.758,10.55210972,4.35687017440796,51.9570999145508
1992,BWA,9.39822673797607,0.0,0.016125,2.64,5.996,10.51216507,4.761370182037355,51.1772499084473
1993,BWA,11.6420764923096,0.0,0.03225,3.06,6.234,10.47222042,5.16587018966675,55.1363792419434
1994,BWA,13.8845663070679,0.0,0.048375,3.46,6.472,10.34175014,5.62313985824585,53.1301307678223
1995,BWA,16.1250171661377,0.0,0.0645,3.98,6.71,10.70094013,5.28647994995117,58.8820610046387
1996,BWA,18.3627471923828,0.0,0.157,4.7,6.89,10.88468329,5.66145992279053,64.05642191569014
1997,BWA,20.5970783233643,0.0,0.308,5.45,7.07,11.06842645,5.81129503250122,69.23078282674156
1998,BWA,22.8273296356201,0.917437288,0.602,6.35,7.25,11.25216961,5.96113014221191,74.405143737793
1999,BWA,25.0527400970459,5.438773013,1.12,7.54,7.43,11.63829994,6.25281000137329,75.0786209106445
2000,BWA,26.5,13.2462372912074,2.90266662177209,8.10191119256079,7.61,11.74394989,6.98083019256592,76.1968231201172
2001,BWA,24.8,19.4050649027539,3.43088678702599,8.65262980842795,7.744,11.72593021,7.48678016662598,75.3002014160156
2002,BWA,27.0,19.0435033296786,3.38592235064273,8.49141115440894,7.878,11.53738022,7.80341005325317,75.8795700073242
2003,BWA,33.1,25.0587925232129,3.3451901740614,7.39969229660265,8.012,11.59051991,9.07960033416748,76.5648727416992
2004,BWA,35.3,28.9318073913231,3.30488925316113,7.29182921579109,8.146,11.60266972,9.56877994537354,78.3988189697266
2005,BWA,37.5,30.6423744630755,3.262599945,7.41696319917038,8.28,11.6691103,9.23077964782715,79.5636215209961
2006,BWA,39.7,43.9084008885494,4.28993297515968,7.04363152941879,8.398,11.83510971,10.0698099136353,81.6948394775391
2007,BWA,41.9,60.2637294559808,5.28,7.16544204403409,8.516,11.79946041,10.2232799530029,82.4867095947266
2008,BWA,44.5,76.195582496141,6.25,7.29662507628323,8.634,11.72972965,14.2659397125244,77.806510925293
2009,BWA,43.4,94.1440909682303,6.150000095,6.90329350928053,8.752,11.70634123,21.9871006011963,
2010,BWA,52.0,116.2460387062,6.0,6.75919809592295,8.87,11.68295281,19.5398902893066,
2011,BWA,53.2,139.870462760455,9.0,7.21367133904178,9.1,11.65956439,17.5134506225586,
2012,BWA,56.0,146.149158429435,16.0,7.61105501852636,9.33,11.63617596,21.6663608551025,
2013,BWA,58.0,151.670682520804,30.0,8.13595854031566,9.56,11.61278754,26.3370990753174,
2014,BWA,60.0,157.018320070864,36.74474744423,7.79155486721263,9.79,11.58939912,24.8355648460166,
2015,BWA,62.1,157.734742812171,38.89379883,7.28416315182004,10.02,11.5660107,26.8692925538756,
2016,BWA,64.2,147.172960511479,41.16859818,6.35956355357315,10.1,11.54262227,22.6605855291776,
2017,BWA,67.4,142.962095019868,43.57640076,6.2294998074333,10.18,11.51923385,21.4762885165012,
2018,BWA,68.3,147.06483856362,46.12509918,6.19714058424429,10.26,11.49584543,21.486418268845398,
2019,BWA,70.1,160.661520194607,48.82279968,6.11414773830949,10.34,11.47245701,21.4965480211896,
2020,BWA,71.8,161.858815314634,51.67819977,5.91755167391269,10.42,11.44906858,22.4017870513653,
2021,BWA,73.7,173.25235140068,54.70069885,3.906446171278,10.478,11.42568016,21.2032904951187,70.6292572021484
2022,BWA,75.9,178.205018910673,57.9,3.75938771060358,10.478,11.42568016,20.7095613715302,
2023,BWA,76.0,179.027305378019,57.67975018,3.62000674127223,10.478,11.42568016,20.5658232475186,
2024,BWA,80.2,163.999922257361,57.45950036,3.2993817476942,,,21.4087908549348,
1990,CAF,,0.0,0.0,0.174,1.867779274,5.280560017,1.32114005088806,12.1238403320312
1991,CAF,,0.0,0.0009750000000000001,0.181,1.934874257,4.918749809,1.43098998069763,12.2781200408935
1992,CAF,,0.0,0.0019500000000000001,0.199,2.001969241,4.094940186,1.34974002838135,10.2222499847412
1993,CAF,,0.0,0.002925,0.214,2.069064225,4.196776643,,
1994,CAF,,0.0,0.0039000000000000003,0.226,2.136159208,4.298613099,,
1995,CAF,3.0,0.001342812,0.004875,0.25,2.203254192,4.400449556,,
1996,CAF,3.33491563796997,0.031841169,0.00585,0.282,2.281229443,4.502286013,,
1997,CAF,3.83021020889282,0.039612869,0.0143,0.278,2.359204694,4.60412247,,
1998,CAF,4.32142543792725,0.045934475,0.0279,0.264,2.437179946,4.705958927,,
1999,CAF,4.80779838562012,0.113860194,0.0409,0.264,2.515155197,4.807795384,2.01588010787964,
2000,CAF,6.0,0.129571118814133,0.0533941742150456,0.246985978041517,2.593130448,4.909631841,1.94369995594025,
2001,CAF,5.7,0.280648972684436,0.0785434278394038,0.227504262675192,2.665665566,5.011468298,1.87473997473717,10.9798498153687
2002,CAF,6.1,0.31452216220507,0.128537116506299,0.224658687289336,2.738200683,5.113304755,1.80577999353409,10.9962396621704
2003,CAF,6.6,0.974875983588938,0.151563337940017,0.231533046102373,2.8107358,5.215141212,1.7368200123310098,
2004,CAF,7.0,1.43101573974212,0.223401395464406,0.238502623290354,2.883270918,5.316977669,1.66786003112793,
2005,CAF,7.4,2.33164910546282,0.26820001,0.233164910546282,2.955806035,5.418814126,1.3773050308227548,
2006,CAF,7.8,2.51280445195849,0.311199993,0.19453013602225372,3.012020751,5.520650583,1.08675003051758,
2007,CAF,8.4,7.61858666254367,0.375815961044797,0.15589536149822544,3.068235467,5.62248704,1.62585496902466,
2008,CAF,7.5,12.5027857083947,1.0,0.11726058697419717,3.124450183,5.724323497,2.16495990753174,
2009,CAF,9.4,19.0689343696367,1.799999952,0.0786258124501689,3.180664899,5.826159954,2.30814003944397,11.9955196380615
2010,CAF,9.8,21.7946380977499,2.0,0.0206766310668051,3.236879615,6.018069983,2.53881001472473,13.9572396278381
2011,CAF,10.4,21.7401847658532,2.200000048,0.017853148977847,3.356562559,6.209980011,2.95497989654541,15.9189596176147
2012,CAF,11.0,24.7918387246771,2.400000095,0.0178492112513794,3.476245503,6.190639973,2.77519989013672,15.6197595596313
2013,CAF,11.5,29.3015343940304,2.5,0.0172323954386711,3.595928447,6.317989663,,15.201457262039149
2014,CAF,12.0,24.9962039132355,2.700000048,0.0173040992113224,3.71561139,6.447959105,,14.783154964447
2015,CAF,12.7,26.8396654368244,2.900000095,0.0406323174893937,3.835294334,6.580602192,,14.364852666854851
2016,CAF,13.4,26.4835649048309,3.099999905,0.0416661097749245,3.858868247,6.715973923,,13.9465503692627
2017,CAF,14.1,24.5204193752763,4.0,0.0438926707375867,3.88244216,6.85413043,,15.8074398040772
2018,CAF,14.6,26.2215810621653,5.099999905,0.0449508952976198,3.906016074,6.995129001,,
2019,CAF,14.3,32.2626859489842,7.509200096,0.0404473231253727,3.929589987,7.139028099,,
2020,CAF,15.4,36.426009643045,9.590666770666667,0.0397881044708301,3.9531639,7.285887393,,
2021,CAF,15.7,35.8169832358522,11.672133445333333,0.0391228653586589,3.989431459,7.435767778,,
2022,CAF,15.7,38.8217901039988,13.75360012,0.040956924809716,3.989431459,7.435767778,,
2023,CAF,17.6,,13.8416996,,3.989431459,7.435767778,,
2024,CAF,18.2,,13.78250027,,,,,
1990,CIV,,0.0,0.0,0.597,1.970933041,5.348631403,,
1991,CIV,,0.0,4e-05,0.641,2.059818256,5.452453121,,
1992,CIV,,0.0,8e-05,0.635,2.148703472,5.55829011,2.47028994560242,
1993,CIV,,0.0,0.00012000000000000002,0.656,2.237588688,5.666181491,2.93564009666443,
1994,CIV,36.5,0.0,0.00016,0.723,2.326473903,5.776167139,3.6460599899292,
1995,CIV,43.6312522888184,0.0,0.0002,0.779,2.415359119,5.888287707,3.5975399017334,
1996,CIV,44.6482124328613,0.091479639,0.00841,0.841,2.560280666,6.002584636,4.5078048706054705,
1997,CIV,45.6617698669434,0.234750142,0.0188,0.887,2.705202213,6.11910017,5.41806983947754,
1998,CIV,46.6712455749512,0.575143814,0.061,1.02,2.85012376,6.237877375,5.454704999923705,
1999,CIV,48.2,1.573080065,0.119,1.27,2.995045307,6.358960152,5.49134016036987,21.0010890960693
2000,CIV,48.7,2.67219556535498,0.231461670612799,1.48972789655282,3.139966854,6.487278112,,
2001,CIV,49.7,4.00763786041553,0.395747702246439,1.61488203392579,3.234648932,6.615596072,,
2002,CIV,51.4,5.50560497365526,0.497929360753307,1.74131861495378,3.329331009,6.743914032,,
2003,CIV,51.5,6.69625990207232,0.758669629452205,1.24440917805101,3.424013087,6.872231992,,
2004,CIV,52.4,8.54468997193162,0.849282414747704,1.31631538657821,3.518695164,7.000549952,,
2005,CIV,58.9,11.7071226897453,1.039199948,1.28816573749712,3.613377242,7.128867912,,
2006,CIV,60.2,19.7861496888908,1.52489996,1.31686186492672,3.706127032,7.257185872,,
2007,CIV,55.3,35.5088438452275,1.799999952,1.17720604465179,3.798876822,7.385503832,7.9370698928833,
2008,CIV,60.3,48.5675503786085,1.899999976,1.65703600265849,3.891626612,7.513821793,7.48366022109985,
2009,CIV,57.3,59.9342847557544,2.0,1.28225642946567,3.984376402,7.642139753,7.18858003616333,
2010,CIV,58.4,69.3658791896946,2.700000048,1.25997056660944,4.077126192,7.770457713,6.53099472386889,
2011,CIV,55.8,75.4688103733356,2.900000095,1.20308937429292,4.227844601,7.898775673,2.92101759305363,
2012,CIV,55.8,77.1273355805099,4.400000095,1.17669102220566,4.37856301,8.027093633,5.13764131451936,
2013,CIV,61.5,80.9986810652982,6.599999905,1.13679013273934,4.529281419,8.155411593,7.35426503598509,
2014,CIV,61.9,90.1219840101242,10.0,0.989440582662774,4.679999828,8.283729553,7.73897659286671,40.4629922041554
2015,CIV,62.6,100.638777689061,38.4400001654616,1.0981709746307,4.707142694,8.547829628,8.46433224598306,43.9865647318392
2016,CIV,64.3,105.624772864173,41.2078149304414,1.11240715206831,4.734285559,9.07269001,8.89557845705252,46.2425069943643
2017,CIV,65.6,118.755063895419,43.8399208514876,1.14299834678543,4.761428424,9.474160194,9.52488768872621,49.0863555848622
2018,CIV,67.1,123.098008449044,37.5465361301281,1.10106355651051,4.78857129,9.697870255,9.925292926350155,51.072614509286
2019,CIV,68.6,132.574011521792,36.2889545655205,0.963799217032847,4.815714155,9.921580315,10.3256981639741,53.791930617454
2020,CIV,69.9,138.663750301785,36.01660156,0.91226665717693,4.84285702,10.10165024,10.2664091345849,55.4380323721262
2021,CIV,71.1,150.343798608733,35.95069885,0.895362225898368,4.869999886,10.19834995,10.7725833415282,57.135967003236
2022,CIV,70.4,161.231833444196,38.41328122,0.866287161290531,4.869999886,10.20602036,11.1134926507622,54.0714108290486
2023,CIV,72.4,171.988943341282,40.65284979,0.784154890508635,4.869999886,11.41112995,11.5724272130065,63.9607557764462
2024,CIV,72.9,183.875985110648,41.43219902,0.766268671579055,,,12.3354902267456,65.3065056618336
1990,CMR,,0.0,0.0,0.355,2.137363225,8.211890221,2.95227003097534,25.8838996887207
1991,CMR,29.0,0.0,,0.359,2.221133081,8.174260139,3.23773002624512,27.3890495300293
1992,CMR,32.6975250244141,0.0,,0.455,2.304902936,8.047991395,,28.2887706756592
1993,CMR,33.849193572998,0.0,,0.463,2.388672792,7.921722651,,27.7253456115723
1994,CMR,34.9995040893555,0.012452465,,0.458,2.472442647,7.795453906,,27.1619205474854
1995,CMR,36.1477737426758,0.021193421,,0.502,2.556212503,7.669185162,,26.1854991912842
1996,CMR,37.2933235168457,0.025782073,,0.526,2.641214268,7.542916417,,25.3541841506958
1997,CMR,38.435474395752,0.030126572,0.00677,0.546,2.726216033,7.416647673,,24.5228691101074
1998,CMR,40.7,0.034929378,0.0132,0.664,2.811217798,7.290378928,,25.418830871582
1999,CMR,40.7067756652832,0.040819178,0.129,0.651,2.896219563,7.164110184,4.9432201385498,26.9488792419434
2000,CMR,41.0,0.692560554874589,0.252120077733662,0.637043858994432,2.981221328,7.393889904,4.69010019302368,28.4606399536133
2001,CMR,46.2,2.72572763691018,0.277051321848797,0.694255654499268,3.058831636,8.67166996,4.71602010726929,33.5832786560059
